vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
2,12/15/18 22:34,12/15/18 23:10,3,4.84,1,N,1,24,0.5,0.5,5.06,0.00E+00,0.3,30.36,90,262
1,12/15/18 22:01,12/15/18 22:51,1,7.3,1,N,1,32.5,0.5,0.5,6.75,0.00E+00,0.3,40.55,142,181
1,12/15/18 22:41,12/15/18 23:01,2,8.5,1,N,1,25,0.5,0.5,8,5.76,0.3,40.06,224,257
2,12/15/18 23:11,12/15/18 23:40,2,5.58,1,N,1,22.5,0.5,0.5,4.76,0.00E+00,0.3,28.56,142,209
1,12/16/18 0:38,12/16/18 1:04,1,6.3,1,N,1,21.5,0.5,0.5,4.55,0.00E+00,0.3,27.35,79,151
2,12/16/18 0:23,12/16/18 0:57,1,6.97,1,N,1,27.5,0.5,0.5,8.64,0.00E+00,0.3,37.44,79,166
1,12/16/18 1:21,12/16/18 1:43,3,6.4,1,N,1,22.5,0.5,0.5,4.75,0.00E+00,0.3,28.55,186,166
2,12/16/18 1:29,12/16/18 1:55,1,5.8,1,N,1,21.5,0.5,0.5,4.56,0.00E+00,0.3,27.36,249,262
2,3/13/18 13:01,3/13/18 13:20,1,8.96,1,N,1,26,0.00E+00,0.5,5.36,0.00E+00,0.3,32.16,263,66
2,3/13/18 13:41,3/13/18 14:15,1,10.6,1,N,1,35,0.00E+00,0.5,10.39,5.76,0.3,51.95,138,230
1,3/13/18 14:07,3/13/18 14:38,1,10.5,1,N,1,34,0.00E+00,0.5,8.1,5.76,0.3,48.66,138,230
1,3/13/18 14:51,3/13/18 15:16,0,11.5,1,N,1,32.5,0.00E+00,0.5,6.66,0.00E+00,0.3,39.96,264,264
1,3/13/18 15:51,3/13/18 16:41,2,6.9,1,N,1,33,0.00E+00,0.5,6.75,0.00E+00,0.3,40.55,170,141
2,3/13/18 15:13,3/13/18 15:41,1,15.12,1,N,1,42,0.00E+00,0.5,12.14,5.76,0.3,60.7,138,200
2,3/13/18 15:06,3/13/18 15:35,1,14.66,3,N,1,58.5,0.00E+00,0.00E+00,13.86,10.5,0.3,83.16,186,1
1,3/13/18 16:59,3/13/18 17:17,1,8.7,1,N,1,26,1,0.5,5.55,0.00E+00,0.3,33.35,138,49
2,3/13/18 17:25,3/13/18 17:53,1,9.87,1,N,1,31,1,0.5,7.71,5.76,0.3,46.27,138,230
2,3/13/18 17:49,3/13/18 18:19,1,10.55,1,N,1,34.5,1,0.5,7.26,0.00E+00,0.3,43.56,138,61
2,3/13/18 17:13,3/13/18 17:46,1,11.37,1,N,1,35.5,1,0.5,7.46,0.00E+00,0.3,44.76,138,181
1,3/13/18 18:36,3/13/18 19:01,1,7.2,1,N,1,25,1,0.5,6.7,0.00E+00,0.3,33.5,162,97
1,3/13/18 18:06,3/13/18 18:28,2,13.2,3,N,1,53,1,0.00E+00,4,12.5,0.3,70.8,125,1
1,3/13/18 19:57,3/13/18 20:26,1,7,1,N,1,25,0.5,0.5,5.25,0.00E+00,0.3,31.55,231,43
2,3/13/18 20:54,3/13/18 21:07,2,7.56,1,N,1,21.5,0.5,0.5,5.71,5.76,0.3,34.27,138,42
2,3/13/18 19:58,3/13/18 20:17,2,11.43,5,N,1,65,0.00E+00,0.00E+00,15.16,10.5,0.3,90.96,48,265
2,3/13/18 20:28,3/13/18 20:44,1,7.22,1,N,1,22,0.5,0.5,4.66,0.00E+00,0.3,27.96,87,263
2,12/27/18 11:15,12/27/18 11:39,5,10.94,1,N,1,32.5,0.00E+00,0.5,7.81,5.76,0.3,46.87,138,243
1,12/27/18 12:43,12/27/18 13:31,2,17.2,1,N,1,52.5,0.00E+00,0.5,11.8,5.76,0.3,70.86,138,231
2,12/27/18 13:52,12/27/18 14:27,1,11.65,1,N,1,36.5,0.00E+00,0.5,7.46,0.00E+00,0.3,44.76,249,138
1,12/27/18 14:48,12/27/18 15:22,1,10.8,1,N,1,35,0.00E+00,0.5,0.04,5.76,0.3,41.6,48,138
1,12/27/18 14:11,12/27/18 15:00,4,10.9,1,N,1,38.5,0.00E+00,0.5,9,5.76,0.3,54.06,138,230
2,12/27/18 15:39,12/27/18 16:01,1,7.83,1,N,1,24.5,0.00E+00,0.5,5.06,0.00E+00,0.3,30.36,132,135
1,12/27/18 15:09,12/27/18 15:51,2,11.1,1,N,1,36.5,0.00E+00,0.5,8.6,5.76,0.3,51.66,138,163
1,12/27/18 15:37,12/27/18 16:24,2,9.6,1,N,1,36.5,0.00E+00,0.5,6,0.00E+00,0.3,43.3,138,36
1,12/27/18 16:14,12/27/18 16:57,1,2.3,1,N,1,22.5,1,0.5,4.85,0.00E+00,0.3,29.15,236,230
2,12/27/18 17:27,12/27/18 18:26,1,19.45,1,N,1,58.5,1,0.5,12,0.00E+00,0.3,72.3,132,133
1,12/27/18 17:24,12/27/18 18:17,1,9.6,1,N,1,38,1,0.5,7,0.00E+00,0.3,46.8,138,17
1,12/27/18 17:32,12/27/18 18:30,2,21.2,5,N,1,63,0.00E+00,0.00E+00,12.65,0.00E+00,0.3,75.95,132,243
2,12/27/18 21:25,12/27/18 22:01,1,11.83,1,N,1,39,0.5,0.5,9.21,5.76,0.3,55.27,138,48
2,12/27/18 22:57,12/27/18 22:57,1,0.00E+00,5,N,1,50,0.00E+00,0.00E+00,10.06,0.00E+00,0.3,60.36,48,48
2,12/27/18 22:42,12/27/18 22:56,1,7.4,1,N,1,22,0.5,0.5,4.66,0.00E+00,0.3,27.96,138,80
1,12/27/18 22:53,12/27/18 23:12,1,8,1,N,1,24.5,0.5,0.5,5.15,0.00E+00,0.3,30.95,68,116
1,7/22/18 23:49,7/23/18 0:15,1,15.1,1,N,1,41,0.5,0.5,8.45,0.00E+00,0.3,50.75,132,85
2,7/23/18 0:37,7/23/18 1:13,1,8.66,1,N,1,31,0.5,0.5,6.46,0.00E+00,0.3,38.76,90,63
2,7/23/18 0:57,7/23/18 1:13,1,8.91,1,N,1,25.5,0.5,0.5,6.7,0.00E+00,0.3,33.5,148,223
1,7/23/18 1:33,7/23/18 1:59,0,15.6,4,N,1,47.5,0.5,0.5,7,0.00E+00,0.3,55.8,138,265
2,7/23/18 1:39,7/23/18 1:55,1,10.63,1,N,1,29,0.5,0.5,4,0.00E+00,0.3,34.3,132,82
1,7/23/18 6:56,7/23/18 7:40,1,11,1,N,1,38.5,0.00E+00,0.5,11.25,5.76,0.3,56.31,113,138
2,7/23/18 6:54,7/23/18 6:54,2,0.00E+00,5,N,1,65,0.00E+00,0.5,16.38,0.00E+00,0.00E+00,81.88,264,132
1,7/23/18 8:45,7/23/18 9:22,1,11.6,1,N,1,36,0.00E+00,0.5,7.35,0.00E+00,0.3,44.15,132,61
1,7/23/18 9:24,7/23/18 10:19,1,10,1,N,1,37.5,0.00E+00,0.5,8.8,5.76,0.3,52.86,138,162
